n	worst	avg	avr*n!
72	351	346.4005163351784270519428491161982	21211647999258332402195102512493183634096021596952246242259696534731259709660152451122698649600000000000000
73	357	352.5584042012187785570852478348492	1575976773706106590155137308472034658300358870182040054425309805746154986762696650863424621772800000000000000
74	363	358.7239533281839716827465265163919	118661774273857960200959416632876538174822788037103929880101048857214073106025284677495774458675200000000000000
75	369	364.9085343968079055701970299426340	9053067213130328416444492620673400181816510197879681481813591780457187652600472721204009899130880000000000000000
76	375	371.1107311680449244852345208315181	699727317348762642770089144079582538918872819923401147152446429368160648973361218567682304486932480000000000000000
77	381	377.3208349812024251216434032467433	54780605509265577905555692352869709283353884552817616324712026548704813415798620651763930546936217600000000000000000
78	387	383.5369603477790176981392539119609	4343280381212809107425923330231501294376076343280568874313936945047468803749686948874569688255236669440000000000000000
79	393	389.7715015165741586350968404496360	348696684195602509000754534631216852533603311113661917813046919128944485939803352210662666477943956439040000000000000000
80	399	396.0381681832408253017635071163027	28344236666471453881107848381829317137592595408438445474526972719347114987851943776267072039403809616691200000000000000000
81	405	402.2961381139951476529488561895105	2332161410306818251082103681677167364302393803027010477271363263333249901756365722654277790614456930769305600000000000000000
82	411	408.5586826534137441421445854976776	194214225957414433296353480375335363449341083288451889877771312422062598634315879263179427382507953379187097600000000000000000
83	417	414.8391422650145544603343351025760	16367577793849732914825219838970241607573182811472621744204829186787124682379447737719642817494710339838882611200000000000000000
84	423	421.1359039140981849681134496928361	1395745514858562452166452689051072591192975859190320403489866189074293051592826704420491503874771211777190186188800000000000000000
85	429	427.4379772069077290717771000449736	120413728423207963339131468743190157467883075911758358194227884251160107362387049883291505672396056038386553585664000000000000000000
86	436	433.9496051138844732578236116728806	10513338474801195662674477160680947791546776243636340360290455116741202847814772012695652048239371736751477677359104000000000000000000
87	443	440.4783407460683813038006231671335	928421437485630134645522330158797093382851339670141500179746013390621699917738876861738144109449290553823261148315648000000000000000000
88	450	447.0237952915229267583460777125880	82915154702602059813920998952744992624543273324095793194115681344834350363420114832103430333415712489795174036798439424000000000000000000
89	457	453.5857221932406072439459743934611	7487772763594297775082459860017345276493255316779583426525591916797876398034140665795184139633852111975678773555034587136000000000000000000
90	464	460.1640167668840180966591526880347	683673025990612557948249767182573731637646425557807367981312305306692989036868197152860595223491125837619390280195154903040000000000000000000
91	471	466.7578008724852488431824214894903	63105725983541186362695205766849748175527834087473773960491872028173993768511660244252756562061158526318479365308555083120640000000000000000000
92	478	473.3664965246591618866606823590555	5887928483368636045491100204355949878574293550865546464462631201227076858532181219288790256354114857673372811957142016627834880000000000000000000
93	485	479.9908884638078219861900373657824	555240263424623565009430041904185862290998852131876710225200228065858810229683094731179256883292097983178027598509909535977635840000000000000000000
94	492	486.6306597541481375615377750094131	52914571020820328383738770268791168742558050856667868765175325584009584944502383022727709441280521631313932933552263842276898242560000000000000000000
95	499	493.2844877359700991586487101390023	5095618146894595174010100880537888068199197601757844719622137513545831307692609517272740426231378319353600345091465142512928371507200000000000000000000
96	506	499.9511544026367658253153768056689	495790528334354134633033493875249879888177527426428211720021041665989753690551123658101010758458990317826133760373758709945389495091200000000000000000000
97	513	506.6333178345835824807714907008704	48734456989600681159001180634537992705429755792472046571169714628391805245864821341604288060926183827438464040617842795455495969072742400000000000000000000
98	520	513.3300010732757276548562986303097	4839105684242890271310072576740731741780997653459430381591831770006313709698510866489452260175394909559244406471790570480449049058292531200000000000000000000
99	527	520.0394648254058771271563581600565	485333151336492459239917241439935254758031911598086248096572666305497043722581756435030279360847730846699332680768455129146273471503584460800000000000000000000
100	534	526.7612039558406597358520103339695	49160629607894192272017406853870865993014699363881381273963548031341036587864842815378782298289720811933186385405536330002698357307217018880000000000000000000000
101	541	533.4969931936354719774547075223243	5028714787874048760388695057118314239224624737505126431952706305565994110928003458827305069364675195172825712363270739763419965570741782446080000000000000000000000
102	548	540.2465509814545415482155535067679	519418248232372230150596738103220270561714383720810322785077333101930527390378831452623942342599226334293592019203306324703711490262476322242560000000000000000000000
103	555	547.0077465007669194328152760237159	54169634047459356701252938769193446571603076826144517398653440676509330514559630163221088035976696618972189669677401141349685617446918887969914880000000000000000000000
104	562	553.7839702769906956565914997999396	5703430383075955706493307574408407449812308140330876669212918680229728049799296315101789560396553283863566821921367534000973102605932859072467435520000000000000000000000
