num_elements	approx
1407	-1.4262670018
1428	-1.4252319336
1450	-1.4241778301
1471	-1.4232035358
1492	-1.4222625708
1513	-1.4213545225
1535	-1.4204419884
1556	-1.4196100621
1577	-1.4188134465
1598	-1.4180560629
1620	-1.4173056851
1641	-1.4166279030
1663	-1.4159617242
1684	-1.4153652280
1706	-1.4147845134
1727	-1.4142728369
1748	-1.4138031201
1769	-1.4133712612
1791	-1.4129633927
1812	-1.4126213212
1833	-1.4123118608
1854	-1.4120434057
1876	-1.4118061345
1897	-1.4116168059
1918	-1.4114675499
1939	-1.4113540393
1961	-1.4112773701
1982	-1.4112438299
2004	-1.4112502374
2025	-1.4112907718
2047	-1.4113734486
2068	-1.4114992823
2089	-1.4116483848
2110	-1.4118335582
2132	-1.4120660382
2153	-1.4123192439
2174	-1.4126070212
2195	-1.4129246157
2217	-1.4132934739
2238	-1.4136792044
2259	-1.4140978102
2280	-1.4145439225
2302	-1.4150449443
2323	-1.4155602967
2345	-1.4161228761
2366	-1.4166904045
2388	-1.4173169183
2409	-1.4179400434
2430	-1.4185916637
2451	-1.4192671366
2473	-1.4200044856
2494	-1.4207358500
2515	-1.4214941785
2536	-1.4222742589
2558	-1.4231189145
2579	-1.4239397123
2600	-1.4247926869
2621	-1.4256700003
2643	-1.4266148550
2664	-1.4275366608
2686	-1.4285269729
2707	-1.4294914785
2729	-1.4305259283
2771	-1.4294861588
2814	-1.4283705493
2856	-1.4273081846
2899	-1.4262506622
2941	-1.4252496893
2984	-1.4242596794
3027	-1.4233054970
3070	-1.4223895003
3112	-1.4215332898
3155	-1.4206950767
3198	-1.4198981174
3241	-1.4191432367
3283	-1.4184454442
3326	-1.4177734442
3369	-1.4171431991
3412	-1.4165561819
3454	-1.4160248381
3497	-1.4155239775
3539	-1.4150748481
3582	-1.4146578801
3624	-1.4142947155
3667	-1.4139609379
3710	-1.4136698353
3753	-1.4134212327
3795	-1.4132168684
3838	-1.4130487898
3881	-1.4129199465
3924	-1.4128318038
3966	-1.4127846826
4009	-1.4127759710
4052	-1.4128043284
4095	-1.4128715750
4137	-1.4129787693
4180	-1.4131190944
4222	-1.4132922245
4265	-1.4135059714
4307	-1.4137474429
4350	-1.4140299619
4393	-1.4143455210
4436	-1.4146956252
4478	-1.4150705216
4521	-1.4154876387
4564	-1.4159353501
4607	-1.4164155349
4649	-1.4169180659
4692	-1.4174585692
4735	-1.4180299421
4778	-1.4186318177
4820	-1.4192461073
4863	-1.4199040327
4905	-1.4205723717
4948	-1.4212845401
4990	-1.4220070066
5033	-1.4227738008
5076	-1.4235650818
5119	-1.4243827094
5161	-1.4252006593
5204	-1.4260668471
5247	-1.4269579742
5290	-1.4278737479
5332	-1.4287891584
5375	-1.4297497286
5418	-1.4307314609
5461	-1.4317358164
5546	-1.4305934710
5631	-1.4294763980
5716	-1.4283874296
5802	-1.4273165911
5887	-1.4262911440
5972	-1.4253003579
6057	-1.4243452922
6143	-1.4234172115
6228	-1.4225390647
6313	-1.4216997754
6398	-1.4209009409
6484	-1.4201345742
6569	-1.4194181589
6655	-1.4187360262
6740	-1.4181035729
6826	-1.4175067185
6911	-1.4169595358
6996	-1.4164548884
7081	-1.4159916597
7167	-1.4155660146
7252	-1.4151888471
7337	-1.4148513339
7422	-1.4145554048
7508	-1.4142980468
7593	-1.4140837160
7678	-1.4139099163
7763	-1.4137752280
7849	-1.4136792850
7934	-1.4136239123
8020	-1.4136074046
8105	-1.4136284157
8191	-1.4136881260
8276	-1.4137868555
8361	-1.4139189818
8446	-1.4140873523
8532	-1.4142941288
8617	-1.4145326815
8702	-1.4148058956
8787	-1.4151121601
8873	-1.4154561539
8958	-1.4158293991
9043	-1.4162352304
9128	-1.4166718451
9214	-1.4171456164
9299	-1.4176463247
9385	-1.4181813714
9470	-1.4187402595
9556	-1.4193356973
9641	-1.4199520359
9726	-1.4205967523
9811	-1.4212682797
9897	-1.4219755223
9982	-1.4227015781
10067	-1.4234541147
10152	-1.4242314072
10238	-1.4250437561
10323	-1.4258689815
10408	-1.4267205135
10493	-1.4275961565
10579	-1.4285062193
10664	-1.4294279194
10750	-1.4303836548
10835	-1.4313497664
10921	-1.4323495277
11091	-1.4312170893
11262	-1.4300849857
11432	-1.4289878844
11603	-1.4279152714
11773	-1.4268819145
11944	-1.4258775474
12115	-1.4249096774
12286	-1.4239799082
12456	-1.4230945865
12627	-1.4222437269
12798	-1.4214338590
12969	-1.4206656297
13139	-1.4199432330
13310	-1.4192589414
13481	-1.4186170129
13652	-1.4180179229
13822	-1.4174649240
13993	-1.4169515297
14163	-1.4164831387
14334	-1.4160546092
14504	-1.4156713490
14675	-1.4153268957
14846	-1.4150244449
15017	-1.4147637011
